,Track ID,Name,Artist,Album,Genre,Location,Kind,Size,Total Time
69,350,Because of You,Alexandre Desplat,The Imitation Game [Original Soundtrack],Soundtrack,file:///Users/AlwynLopez/Music/iTunes/iTunes%20Media/Music/Alexandre%20Desplat/The%20Imitation%20Game%20%5BOriginal%20Soundtrack%5D/20%20Because%20of%20You.mp3,MPEG audio file,2725808,96208
70,352,Alan Turing's Legacy,Alexandre Desplat,The Imitation Game [Original Soundtrack],Soundtrack,file:///Users/AlwynLopez/Music/iTunes/iTunes%20Media/Music/Alexandre%20Desplat/The%20Imitation%20Game%20%5BOriginal%20Soundtrack%5D/21%20Alan%20Turing's%20Legacy.mp3,MPEG audio file,3707972,116584
71,354,Wrecking Ball,Christina Grimmie,The  Voice: The Complete Season 6 Collection,Pop,file:///Users/AlwynLopez/Music/iTunes/iTunes%20Media/Music/Christina%20Grimmie/The%20%20Voice_%20The%20Complete%20Season%206%20Collection/01%20Wrecking%20Ball.mp3,MPEG audio file,8339196,206040
72,356,I Knew You Were Trouble,Christina Grimmie,The  Voice: The Complete Season 6 Collection,Pop,file:///Users/AlwynLopez/Music/iTunes/iTunes%20Media/Music/Christina%20Grimmie/The%20%20Voice_%20The%20Complete%20Season%206%20Collection/02%20I%20Knew%20You%20Were%20Trouble.mp3,MPEG audio file,8468527,209256
73,358,Counting Stars,Christina Grimmie,The  Voice: The Complete Season 6 Collection,Pop,file:///Users/AlwynLopez/Music/iTunes/iTunes%20Media/Music/Christina%20Grimmie/The%20%20Voice_%20The%20Complete%20Season%206%20Collection/03%20Counting%20Stars.mp3,MPEG audio file,8023701,198192
74,360,I Won’t Give Up,Christina Grimmie,The  Voice: The Complete Season 6 Collection,Pop,file:///Users/AlwynLopez/Music/iTunes/iTunes%20Media/Music/Christina%20Grimmie/The%20%20Voice_%20The%20Complete%20Season%206%20Collection/04%20I%20Won_t%20Give%20Up.mp3,MPEG audio file,8942252,221040
75,362,Dark Horse,Christina Grimmie,The  Voice: The Complete Season 6 Collection,Pop,file:///Users/AlwynLopez/Music/iTunes/iTunes%20Media/Music/Christina%20Grimmie/The%20%20Voice_%20The%20Complete%20Season%206%20Collection/05%20Dark%20Horse.mp3,MPEG audio file,7290427,179952
76,364,"Hold On, We're Going Home",Christina Grimmie,The  Voice: The Complete Season 6 Collection,Pop,"file:///Users/AlwynLopez/Music/iTunes/iTunes%20Media/Music/Christina%20Grimmie/The%20%20Voice_%20The%20Complete%20Season%206%20Collection/06%20Hold%20On,%20We're%20Going%20Home.mp3",MPEG audio file,7137050,176136
77,366,How To Love,Christina Grimmie,The  Voice: The Complete Season 6 Collection,Pop,file:///Users/AlwynLopez/Music/iTunes/iTunes%20Media/Music/Christina%20Grimmie/The%20%20Voice_%20The%20Complete%20Season%206%20Collection/07%20How%20To%20Love.mp3,MPEG audio file,6964318,171840
78,368,Hide and Seek,Christina Grimmie,The  Voice: The Complete Season 6 Collection,Pop,file:///Users/AlwynLopez/Music/iTunes/iTunes%20Media/Music/Christina%20Grimmie/The%20%20Voice_%20The%20Complete%20Season%206%20Collection/08%20Hide%20and%20Seek.mp3,MPEG audio file,6639176,163752
